DATE,CSUSHPISA,Year,Month,Per_Capita_GDP,Working_Population,Houses,CPI,UNRATE,Cons_Materials,FEDFUNDS,Num_Households,Income,Subsidy
2019-06-01,208.649,2019,6,62740.333333333336,206561471.831503,5.2,255.159,3.6,236.3,2.38,128579.0,78250.0,40.185
2019-07-01,209.287,2019,7,62945.0,206406247.33032,5.9,255.685,3.7,235.6,2.4,128579.0,78250.0,40.185
2019-08-01,210.093,2019,8,63049.0,206400190.485784,5.4,256.059,3.7,234.4,2.13,128579.0,78250.0,40.185
2019-09-01,210.904,2019,9,63153.0,206317795.986342,5.4,256.511,3.5,234.4,2.04,128579.0,78250.0,40.185
2019-10-01,211.791,2019,10,63257.0,206248793.258298,5.3,257.244,3.6,233.8,1.83,128579.0,78250.0,40.185
2019-11-01,212.787,2019,11,62949.0,206324586.903383,5.4,257.803,3.6,232.8,1.55,128579.0,78250.0,40.185
2019-12-01,213.933,2019,12,62641.0,206397971.567839,5.6,258.616,3.6,232.2,1.55,128579.0,78250.0,40.185
2020-01-01,214.99400000000003,2020,1,62333.0,205738360.634943,5.7,259.037,3.5,233.4,1.55,128451.0,76660.0,44.147
2020-02-01,215.864,2020,2,60684.0,205608674.614351,5.6,259.248,3.5,234.6,1.58,128451.0,76660.0,44.147
2020-03-01,216.402,2020,3,59035.0,205444401.983235,6.5,258.124,4.4,236.3,0.65,128451.0,76660.0,44.147
2020-04-01,216.812,2020,4,57386.0,206991879.722064,6.9,256.092,14.7,234.3,0.05,128451.0,76660.0,44.147
